,jd,TOI-260,TOI-266,TOI-329,TOI-465,TOI-469,TOI-480,TOI-509,TOI-554,TOI-561,TOI-669,TOI-1136,TOI-1173,TOI-1174,TOI-1180,TOI-1181,TOI-1184,TOI-1194,TOI-1244,TOI-1246,TOI-1247,TOI-1248,TOI-1249,TOI-1255,TOI-1269,TOI-1272,TOI-1279,TOI-1288,TOI-1294,TOI-1296,TOI-1298,TOI-1339,TOI-1347,TOI-1386,TOI-1410,TOI-1411,TOI-1422,TOI-1430,TOI-1436,TOI-1437,TOI-1438,TOI-1439,TOI-1443,TOI-1444,TOI-1451,TOI-1456,TOI-1467,TOI-1471,TOI-1472,TOI-1473,TOI-1601,TOI-1611,TOI-1669,TOI-1691,TOI-1694,TOI-1710,TOI-1716,TOI-1723,TOI-1726,TOI-1736,TOI-1742,TOI-1751,TOI-1753,TOI-1758,TOI-1759,TOI-1775,TOI-1776,TOI-1778,TOI-1794,TOI-1797,TOI-1798,TOI-1799,TOI-1801,TOI-1807,TOI-1823,TOI-1824,TOI-1836,TOI-1842,TOI-1898,TOI-1905,TOI-2019,TOI-2045,TOI-2076,TOI-2088,TOI-2114,TOI-2128,TOI-2145
14,2460351.8329124576,,,,,210.5177941752231,247.14901289441076,17.380018897179163,2829.1074610161063,23.945948158321293,9.741715038975292,1.5728484288307791,33.65046609262818,7.488585027806868,3.5307837877949706,331.98070299187964,958.4630647436697,42.38906970974846,101.16825215279114,179.77126695354752,59.24781746398371,93.03257353256447,3.6353468422535613,335.32707616385744,218.84498224911238,8.985673181290997,11.04059630445985,245.869398932229,29.411540770902086,188.80959024148294,86.44260988413716,63.25602126954249,427.59873242998583,,,49.30774735794952,,,23.539774347151337,430.13789329072745,129.27858101171677,76.43060872905393,65.45204691938133,700.2480081978781,7.42473762458188,,2943.0935563360977,,6398.62185538124,,1429.7497326550774,36.47781943108949,60.62817720478013,77.3928709630445,22.717896035165094,40.22949087651414,15.24605829654254,6.3137138647409525,11.498595717175556,63.75646144668757,56.04539961653874,23.399312504312,97.80512951196539,205.0548809063294,9579.714231978776,5.1799442097821276,23.436951958285313,11.661552820534599,31.156193611982218,13.532602879917773,23.27295812434711,12.65896613877144,14.181032193713325,38.29544461619133,19.797478416330208,19.212625678661663,93.06865321989714,37.709104806228304,3.7154620699667746,67.57938263914211,26.388561468979326,25945.559698350073,16.24398372878847,67.66727939720428,,3835165.840146628,96658.7963378692
15,2460351.835858586,,,,,231.493690073764,279.83499683629725,17.809371131693062,3623.551123951493,23.856865345036876,9.589893938075113,1.5415868369718964,33.045804289947796,7.310306327704329,3.4945685323808595,315.0299515621323,885.8703111381687,42.0384175778528,97.46711580171242,173.7268560473232,57.71396770647634,87.8265795699481,3.553848811996894,329.2064092083151,208.5633101600279,8.68691720167213,10.810553709586072,240.37026277112668,28.634971548568082,182.2143098269191,83.6770719326384,61.13074607759404,413.06612367034705,,,45.674178154821284,,,22.579265857968327,396.4662830742043,126.4300445770796,73.64097226642994,64.52758912057688,687.2797547437376,7.281800479136231,,3722.879299464841,,9471.979695633627,,1704.9872642374403,36.479216368541486,61.20600287543932,77.08685856615989,23.136149947389473,40.74183211854023,15.547107019722501,6.376454389416449,11.732853378928738,66.04591938510605,54.29647050492885,22.31566814838437,92.11250276116704,208.41076042741278,9664.676281842632,5.1600726676840765,23.132142400390514,11.709987195082489,30.001299277034512,13.342383808260555,22.19782276772392,12.45766235077014,13.820912167605503,36.65959610479708,19.354861802324347,18.743420351635425,86.32907771879222,35.01099532874829,3.7140702104013616,63.31322872353987,24.50069176772441,32744.38911601401,15.238761213867305,66.12860428653337,,450693.94604991406,49499.42853246055
16,2460351.838804714,,,,,255.72912800908432,319.0746015461776,18.269962192464654,4748.268839451208,23.791158573539626,9.451580265384093,1.511654861698392,32.463660354168304,7.1391448138354425,3.459093581417452,298.6640101035803,819.5415801915176,41.70618760754958,93.9193817893353,167.92002527666784,56.23595245383139,82.9631061074722,3.475744251577241,323.0315172644688,198.86980530638553,8.404932723007976,10.591614744803573,234.54119879946347,27.888349862138305,175.87693757614937,81.02288260153416,59.01044607433728,398.927753082753,,,42.39085777511158,,,21.675989942052897,366.0111032621026,123.61211155675556,70.9796821481077,63.58818442306748,673.9574502327794,7.145327648863433,,4787.598997492164,,14762.035487167783,,2053.5250709225766,36.47407331871322,61.78969415540189,76.77844564560202,23.572427180303677,41.271223168559466,15.863307559703062,6.44235120363055,11.982540276773312,68.4375001086591,52.60701764473384,21.295138781122155,86.82335837634263,211.730760137495,9715.297788023541,5.143745001609214,22.84722817536695,11.765844078878036,28.91480960610934,13.165889376350306,21.195815755644073,12.269101463330228,13.483316254476318,35.133852072901156,18.931539713499838,18.29556846498731,80.2036309628933,32.59187004789804,3.715665695438475,59.4707971121076,22.7888640435023,41868.27311788184,14.319908891228877,64.62273918019892,407187697.48264056,129848.8507254401,28501.75451772488
17,2460351.8417508416,,,,,283.892992187778,366.6228637648624,18.7640008555513,6394.3416389695285,23.748595430451473,9.326145944074046,1.4829965584522813,31.903234901647274,6.974798391716821,3.4243525693863313,282.9059447261259,758.8931016765321,41.39198108700767,90.5191384580025,162.34195411529782,54.81169109529053,78.41772757196735,3.400885096905193,316.8150351753154,189.72771294830562,8.138631539182127,10.38325307784268,228.42536703740828,27.170454875248097,169.78848701054594,78.47547748457127,56.90280766068429,385.18668326661935,,,39.41747536878339,,,20.8259301176943,338.4183652245687,120.82733021360269,68.44044642906997,62.63560897856682,660.3274356959431,7.015039639861377,,6275.612451802257,,24624.090635678145,,2500.9678464364238,36.46239574193548,62.37910623879856,76.46779113470274,24.02747819156035,41.81809861915794,16.19540193917826,6.5114915032438345,12.248563246448969,70.93581953149251,50.97545561977466,20.33360846263345,81.90552156655716,215.0086955463073,9730.832168483556,5.130922668266673,22.581475678455703,11.829242697217321,27.891963327373105,13.002561703313434,20.26098476199504,12.092724715037958,13.166845231453244,33.70936298432199,18.526634680449376,17.868024865801043,74.62681399814869,30.416475389417098,3.7202531098348905,56.000788732681684,21.233531662372386,54329.528307077584,13.478462946821471,63.14966615906471,1264857.4457012722,53727.30097789876,17808.168096676738
18,2460351.8446969697,,,,,316.82771855355617,424.83528254116874,19.293920575512974,8902.352549738325,23.729025756434403,9.213030584005026,1.4555589908238133,31.36376363991552,6.816979632627323,3.3903389664419623,267.77151189463984,703.3976371460226,41.09542260356282,87.26061580538023,156.9840429513269,53.439178107492204,74.16781712463852,3.329131056832573,310.5691543486556,181.10266733718203,7.887010075056311,10.18497553216543,222.06610886585705,26.48011775489627,163.94011462400894,76.0304605030695,54.81485760196572,371.8443384002492,,,36.71907640306256,,,20.025396866318573,313.37780176806234,118.07802672397399,66.01728011293879,61.671607417485305,646.43534530951,6.890673104799867,,8412.645952267909,,45123.02508862411,,3084.306339557198,36.44419602146126,62.974085327159656,76.15505291066837,24.50209455611266,42.382907762868925,16.544181951844504,6.583967423576328,12.531909319114984,73.54567353157438,49.400189844255074,19.427250874358716,77.32961180848172,218.23825603824366,9711.049147625874,5.121575484912971,22.33420873750204,11.900319101162838,26.928392122248074,12.851891548219369,19.387945344328433,11.928017200556537,12.870218140028209,32.37812436771137,18.13931843896398,17.459806690544873,69.54106983362826,28.454800247941378,3.7278456522445786,52.85930172589253,19.81764887381628,71693.1589416173,12.70654544633646,61.70930753699691,196163.9553980403,27078.76517298722,11817.631626999777
19,2460351.8476430974,,,,,355.6044066563285,496.9228140891124,19.862404188634123,12918.653128660915,23.732380632287516,9.111736486882123,1.4292920929444213,30.844516477215056,6.665415216860406,3.357046135310053,253.2699202502237,652.5791002052623,40.81615965140582,84.13819683817556,151.83792677561814,52.11648266707359,70.19242256939265,3.2603492624635235,304.30559728194174,172.9625492454866,7.64914225036815,9.996320103446408,215.50638486412035,25.81622041777045,158.3231453522493,73.68360342835787,52.75295575875599,358.90066223780036,,,34.26526268379019,,232781132.84080267,19.27099862658472,290.6169367836126,115.36631401772176,63.70449493646402,60.69788859023611,632.3258561707879,6.771980017100449,,11582.635677927161,,95005.73173651425,,3858.238246347152,36.419493450699854,63.574467754676625,75.84038801849165,24.997110751539346,42.96611427028755,16.910492346193298,6.659876165756604,12.833652933353061,76.27203686572892,47.87962465276935,18.572509078069633,73.06878998184065,221.4130216925415,9656.241898858174,5.115681505620782,22.104805534063555,11.979226650364543,26.020085017927183,12.713415310123997,18.571820446124605,11.77450506570508,12.592261895666875,31.132886441565468,17.76880941589973,17.069989787655672,64.89571490261501,26.68118989715701,3.7384652032715873,50.00861649942398,18.52631184333376,96451.57204805766,11.997215806802476,60.30153192628032,62207.2877813732,15457.019009003889,8213.951852423068
20,2460351.8505892255,,,,,401.5990405378528,587.3390598632616,20.472413287316297,19769.92328741183,23.75867187224137,9.021824030684867,1.4041484766215566,30.3447954044393,6.519845035262587,3.3244673061650154,239.4045526527176,606.0075213398638,40.553861569997956,81.14641938125172,146.895474050022,50.841744928084296,66.47213982022947,3.194413770106915,298.0355823286523,165.27733100831875,7.424172465572058,9.816853669875949,208.78824728991773,25.17769267088859,152.92908099750068,71.43083919885082,50.72279273791403,346.3542399593611,,,32.02951932130077,,25976165.432602104,18.55961388147078,269.8959781390018,112.69409475460478,61.49668353959506,59.71611949362981,618.0424306108039,6.65872661332919,,16471.967530775528,,250921.68640836043,,4905.817574192087,36.388314166272025,64.18008052791339,75.52395215960256,25.51340720064932,43.568197192701724,17.295235125191084,6.73932030509034,13.154964673170769,79.12006741050148,46.412166965633034,17.766074644664208,69.09851911121247,224.5264894769716,9567.217926232735,5.113226910419408,21.89269523573352,12.066136734333044,25.16335428303088,12.586711990217054,17.808185210698618,11.631752587318001,12.331901326610147,29.967071714617234,17.41436948108557,16.69770444962424,60.64601789527999,25.073623124339328,3.752142458610168,47.41619794699098,17.34645384186811,132713.17081407376,11.344343302912767,58.926156716823115,27017.68792145171,9613.843687963075,5922.800480663071
21,2460351.8535353537,,,,,456.5991512972954,702.3816861125821,21.127220273412036,32468.65610938435,23.807992111890456,8.942907903531237,1.3800833127328533,29.863933706771682,6.380021696325508,3.292595630808099,226.1737053990653,563.2945917549698,40.30821921852915,78.27998399072428,142.1487963913526,49.61317549027109,62.989003938315776,3.1312052568130686,291.769808174086,158.01894984761748,7.211309826135614,9.646170323377627,201.9523850287696,24.563511025008296,147.74961963460103,69.26826069652543,48.72940120076102,334.20244631806656,,,29.988657182865595,,7170071.998093201,17.888367807300344,251.00351153599348,110.06307136743818,59.38870957226714,58.72792195752344,603.6271179464088,6.5506926891732356,,24384.36932723818,,1028025.9047693233,,6357.053843724855,36.350691113313786,64.79074046009565,75.205899927909,26.051912328278142,44.18965060876498,17.699373333662876,6.822407938192497,13.497120296170374,82.09510321447074,44.99623304305073,17.004870352373434,65.39635808900739,227.57209343794355,9445.274251711799,5.1142059509656335,21.697355489227693,12.161239398915908,24.354806964764425,12.47140080271961,17.093020270561688,11.499359894414386,12.088150918581599,28.874705384623557,17.075301789762825,16.342132369888414,56.75242433431494,23.61312701553355,3.768917092350256,45.053884127419806,16.26659126149924,187528.8781272945,10.742500419698032,57.58295379052669,14019.336359920073,6367.237800936425,4400.240799072988
22,2460351.8564814813,,,,,522.9555622135832,851.1519149089,21.830445846492005,58847.95594499261,23.880515441361073,8.874653696819829,1.3570541792185944,29.40129439522676,6.2457098210991635,3.2614241826226555,213.57127393055958,524.0895413820243,40.0789442336214,75.53375543035767,137.59024834972763,48.42905270668791,59.72638102931425,3.070610627037305,285.5184331491236,151.16117573849306,7.009822558184597,9.48388953698191,195.0377209542997,23.972696486657437,142.77666342672856,67.19211549445751,46.777171415665066,322.4415671847798,,,28.12234094457386,,2850163.0066994526,17.254610082610316,233.7527817915996,107.47475225524508,57.37569433483336,57.73486827337095,589.120361133801,6.447670759876794,,37990.063127580725,,14737899.952000145,,8422.789114430578,36.30666396361088,65.40625425861167,74.88638455514223,26.613605541249594,44.83098416721578,18.123935762119125,6.909252959939137,13.86151131864741,85.20266266901704,43.63025220915618,16.286032834586692,61.94176851734938,230.5432314882936,9292.158068986344,5.118620919445168,21.518309796798626,12.264744172668248,23.591317942126242,12.367138828375133,16.42266928719558,11.376960670560873,11.860107000378562,27.850352094427095,16.750948192507682,16.002503213034256,53.17988598588531,22.283294820406933,3.7888379855979837,42.89721375267202,15.276606845696154,273594.5639715033,10.186870921339665,56.271652811255535,8158.726163689481,4424.419931924056,3351.138707237308
23,2460351.8594276095,,,,,603.8017875502351,1047.1311493457658,22.586101932045406,123601.23105052784,23.97649867689678,8.816775013057262,1.335020920888441,28.95626875161743,6.116685386834577,3.230945957752028,201.5874016937503,488.07541543301954,39.86576837630671,72.90276330475412,133.21242637598948,47.2877201159103,56.66886794703174,3.0125226486262697,279.2910590872971,144.67948811749028,6.81903297871124,9.329654489951645,188.08107453274147,23.40431247661805,138.00232482807897,65.1988006935198,44.869873258285985,311.0669160091894,,,26.412691677457968,,1382168.1152785218,16.655894950931074,217.97850745575042,104.93045848184579,55.453004037652114,56.73847727570291,574.5608302383481,6.349465289419573,,63312.553600885054,,,,11459.490634929894,36.25627900042653,66.02641863791924,74.56555765639878,27.199520446769483,45.49272367852466,18.57002209754095,6.999975365285682,14.249656907023674,88.44844383184761,42.312670193501134,15.606896614638753,58.715940525781114,233.4332933911996,9110.01481259282,5.12648216342257,21.355125185963875,12.37688100594166,22.870005787345644,12.273618952521922,15.793801503056224,11.26422010122391,11.646940775570778,26.889060210706383,16.440686847798965,15.678091462348483,49.897286220870676,21.069889226529643,3.8119635179351876,40.92487003461672,14.367565935676014,415138.1052070629,9.673171377254674,54.99194443770647,5144.557917645008,3193.2156691763694,2606.1118080807128
