Starname,RA,Dec,Exposure Time,Exposures Per Visit,Visits In Night,Intra_Night_Cadence,Priority
112914,194.886585,41.986763,194,1,1,0,1
210392,332.549925,-4.9287753,396,1,1,0,1
157881,261.438465,2.1114222,69,1,1,0,1
178911B,287.26293,34.599848,160,1,1,0,1
168746,275.45742,-11.922694,151,1,1,0,1
216259,342.85983,13.969983,158,1,1,0,1
147379A,244.178115,67.238846,178,1,1,0,1
211038,333.65925,-15.818532,35,3,1,0,1
198802,313.27332,-11.573659,42,3,1,0,1
128311,219.00234,9.7465183,84,1,1,0,1
202751,319.51239,0.16157944,147,1,1,0,1
186408,295.45398,50.52506,30,3,1,0,1
211080,333.69495,-5.8865503,153,1,1,0,1
159062,262.568445,47.402203,69,1,1,0,1
191785,302.775315,16.188,71,1,1,0,1
215152,340.83876,-6.4008211,138,1,1,0,1
120066,206.73801,6.350375,42,3,1,0,1
224383,359.38965,-9.6475192,157,1,1,0,1
209875,331.638225,1.8571344,118,1,1,0,1
215578,341.493375,19.25025,84,1,1,0,1
110897,191.247525,39.278916,31,3,1,0,1
190406,301.02594,17.070173,30,3,1,0,1
189625,300.38667,-16.868997,115,1,1,0,1
8375,20.90625,34.245888,32,3,1,0,1
151995,252.522015,18.900419,240,1,1,0,1
213042,337.31349,-30.018408,89,1,1,0,1
167665,274.348965,-28.288975,49,3,1,0,1
156668,259.4187,29.227226,174,1,1,0,1
1388,4.4952954,-13.45564,48,3,1,0,1
149806,249.28512,0.25434194,61,1,1,0,1
183650,292.33935,31.608656,63,1,1,0,1
172513,280.509825,-34.466335,151,1,1,0,1
220339,350.770395,-10.764244,109,1,1,0,1
157214,260.16486,32.467743,17,3,1,0,1
166620,272.405895,38.457777,32,3,1,0,1
197076,310.18809,19.935536,46,3,1,0,1
136925,230.71695,13.366429,165,1,1,0,1
185144,293.089965,69.661176,12,3,1,0,1
185414,293.981715,56.983901,55,3,1,0,1
154345,255.65169,47.081881,47,3,1,0,1
122064,209.383575,61.492861,30,3,1,0,1
170174,276.97806,6.6001,167,1,1,0,1
156279,258.096675,63.352094,162,1,1,0,1
172310,279.56712,28.925421,201,1,1,0,1
214749,340.18077,-29.67448,99,1,1,0,1
208313,328.687665,32.32857,110,1,1,0,1
164595,270.16206,29.571922,74,1,1,0,1
151877,252.147975,37.013369,188,1,1,0,1
177153,285.415425,41.490082,107,1,1,0,1
180684,289.202445,18.976334,91,1,1,0,1
110315,190.276995,15.376664,103,1,1,0,1
153525,254.42595,47.362144,113,1,1,0,1
216899,344.14503,16.553433,182,1,1,0,1
114174,197.21259,5.2072411,54,3,1,0,1
165401,271.40607,4.6571728,60,1,1,0,1
S101438B,228.182415,19.292433,110,1,1,0,1
183658,292.71966,-6.5144233,100,1,1,0,1
198425,312.31764,32.284787,159,1,1,0,1
167042,272.631375,54.285944,21,3,1,0,1
224619,359.868465,-20.034714,100,1,1,0,1
192344,303.54072,6.5889728,137,1,1,0,1
5470,14.16757215,17.959841,299,1,1,0,1
115404A,199.21272,17.017182,36,3,1,0,1
189733,300.182145,22.710853,101,1,1,0,1
143761,240.26109,33.303509,19,3,1,0,1
154363,256.26414,-5.0665075,84,1,1,0,1
207874,328.02723,1.9064272,162,1,1,0,1
218168,346.009155,74.477421,212,1,1,0,1
127334,217.40337,41.795911,42,3,1,0,1
223315,357.15387,-15.210632,383,1,1,0,1
182488,290.891715,33.221966,37,3,1,0,1
128165,218.370285,52.90879,54,3,1,0,1
222697,355.735635,0.23973222,303,1,1,0,1
142267,238.30041,13.196623,34,3,1,0,1
168009,273.88527,45.209318,41,3,1,0,1
190404,300.9672,23.340686,60,1,1,0,1
164922,270.62859,26.313001,50,3,1,0,1
169830,276.956175,-29.816865,36,3,1,0,1
143291,239.633445,27.739995,138,1,1,0,1
151288,251.27646,33.509229,121,1,1,0,1
145934,243.29118,13.239467,184,1,1,0,1
141399,236.724225,46.986262,84,1,1,0,1
