Starname,RA,Dec,Exposure Time,Exposures Per Visit,Visits In Night,Intra_Night_Cadence,Priority
190406,301.02594,17.070173,30,3,1,0,10
189625,300.38667,-16.868997,115,1,1,0,10
8375,20.90625,34.245888,32,3,1,0,10
151995,252.522015,18.900419,240,1,1,0,10
213042,337.31349,-30.018408,89,1,1,0,10
167665,274.348965,-28.288975,49,3,1,0,10
156668,259.4187,29.227226,174,1,1,0,10
1388,4.4952954,-13.45564,48,3,1,0,10
149806,249.28512,0.25434194,61,1,1,0,10
183650,292.33935,31.608656,63,1,1,0,10
172513,280.509825,-34.466335,151,1,1,0,10
220339,350.770395,-10.764244,109,1,1,0,10
157214,260.16486,32.467743,17,3,1,0,10
166620,272.405895,38.457777,32,3,1,0,10
197076,310.18809,19.935536,46,3,1,0,10
136925,230.71695,13.366429,165,1,1,0,10
185144,293.089965,69.661176,12,3,1,0,10
185414,293.981715,56.983901,55,3,1,0,10
154345,255.65169,47.081881,47,3,1,0,10
122064,209.383575,61.492861,30,3,1,0,10
170174,276.97806,6.6001,167,1,1,0,10
156279,258.096675,63.352094,162,1,1,0,10
172310,279.56712,28.925421,201,1,1,0,10
214749,340.18077,-29.67448,99,1,1,0,10
208313,328.687665,32.32857,110,1,1,0,10
164595,270.16206,29.571922,74,1,1,0,10
151877,252.147975,37.013369,188,1,1,0,10
177153,285.415425,41.490082,107,1,1,0,10
180684,289.202445,18.976334,91,1,1,0,10
110315,190.276995,15.376664,103,1,1,0,10
153525,254.42595,47.362144,113,1,1,0,10
216899,344.14503,16.553433,182,1,1,0,10
114174,197.21259,5.2072411,54,3,1,0,10
165401,271.40607,4.6571728,60,1,1,0,10
S101438B,228.182415,19.292433,110,1,1,0,10
183658,292.71966,-6.5144233,100,1,1,0,10
198425,312.31764,32.284787,159,1,1,0,10
167042,272.631375,54.285944,21,3,1,0,10
224619,359.868465,-20.034714,100,1,1,0,10
192344,303.54072,6.5889728,137,1,1,0,10
5470,14.16757215,17.959841,299,1,1,0,10
115404A,199.21272,17.017182,36,3,1,0,10
189733,300.182145,22.710853,101,1,1,0,10
143761,240.26109,33.303509,19,3,1,0,10
154363,256.26414,-5.0665075,84,1,1,0,10
207874,328.02723,1.9064272,162,1,1,0,10
218168,346.009155,74.477421,212,1,1,0,10
127334,217.40337,41.795911,42,3,1,0,10
223315,357.15387,-15.210632,383,1,1,0,10
182488,290.891715,33.221966,37,3,1,0,10
128165,218.370285,52.90879,54,3,1,0,10
222697,355.735635,0.23973222,303,1,1,0,10
142267,238.30041,13.196623,34,3,1,0,10
168009,273.88527,45.209318,41,3,1,0,10
190404,300.9672,23.340686,60,1,1,0,10
164922,270.62859,26.313001,50,3,1,0,10
169830,276.956175,-29.816865,36,3,1,0,10
143291,239.633445,27.739995,138,1,1,0,10
151288,251.27646,33.509229,121,1,1,0,10
145934,243.29118,13.239467,184,1,1,0,10
141399,236.724225,46.986262,84,1,1,0,10
